repayment_id,transaction_id,customer_id,installment_number,installment_due_date,installment_amount,actual_payment_date,actual_payment_amount
RPY_00000001,TXN_00000004,CUST_003437,1,2024-03-21,44.52,2024-03-20,44.52
RPY_00000002,TXN_00000004,CUST_003437,2,2024-04-20,44.52,2024-04-19,44.52
RPY_00000003,TXN_00000004,CUST_003437,3,2024-05-20,44.52,2024-05-20,44.52
RPY_00000004,TXN_00000005,CUST_000054,1,2024-03-25,220.96,2024-03-25,220.96
RPY_00000005,TXN_00000005,CUST_000054,2,2024-04-24,220.96,2024-04-23,220.96
RPY_00000006,TXN_00000005,CUST_000054,3,2024-05-24,220.96,2024-05-24,220.96
RPY_00000007,TXN_00000005,CUST_000054,4,2024-06-23,220.96,2024-06-23,220.96
RPY_00000008,TXN_00000006,CUST_002788,1,2024-02-03,12.5,,
RPY_00000009,TXN_00000006,CUST_002788,2,2024-03-04,12.5,2024-03-19,13.12
RPY_00000010,TXN_00000006,CUST_002788,3,2024-04-03,12.5,2024-04-18,13.12
RPY_00000011,TXN_00000006,CUST_002788,4,2024-05-03,12.5,2024-05-01,12.5
RPY_00000012,TXN_00000009,CUST_003764,1,2024-02-22,180.96,2024-02-21,180.96
RPY_00000013,TXN_00000009,CUST_003764,2,2024-03-23,180.96,2024-03-21,180.96
RPY_00000014,TXN_00000009,CUST_003764,3,2024-04-22,180.96,,
RPY_00000015,TXN_00000010,CUST_000646,1,2024-03-09,12.5,,
RPY_00000016,TXN_00000010,CUST_000646,2,2024-04-08,12.5,2024-04-06,12.5
RPY_00000017,TXN_00000010,CUST_000646,3,2024-05-08,12.5,2024-05-06,12.5
RPY_00000018,TXN_00000010,CUST_000646,4,2024-06-07,12.5,2024-06-06,12.5
RPY_00000019,TXN_00000011,CUST_002963,1,2024-04-21,223.7,2024-04-20,223.7
RPY_00000020,TXN_00000011,CUST_002963,2,2024-05-21,223.7,2024-05-21,223.7
RPY_00000021,TXN_00000011,CUST_002963,3,2024-06-20,223.7,2024-06-19,223.7
RPY_00000022,TXN_00000012,CUST_000376,1,2024-05-13,92.2,2024-05-11,92.2
RPY_00000023,TXN_00000012,CUST_000376,2,2024-06-12,92.2,2024-06-11,92.2
RPY_00000024,TXN_00000012,CUST_000376,3,2024-07-12,92.2,2024-07-10,92.2
RPY_00000025,TXN_00000013,CUST_000654,1,2024-03-24,12.5,2024-03-23,12.5
RPY_00000026,TXN_00000013,CUST_000654,2,2024-04-23,12.5,2024-04-21,12.5
RPY_00000027,TXN_00000013,CUST_000654,3,2024-05-23,12.5,2024-05-22,12.5
RPY_00000028,TXN_00000013,CUST_000654,4,2024-06-22,12.5,2024-06-21,12.5
RPY_00000029,TXN_00000014,CUST_003114,1,2024-02-14,22.52,2024-02-13,22.52
RPY_00000030,TXN_00000014,CUST_003114,2,2024-03-15,22.52,2024-03-13,22.52
RPY_00000031,TXN_00000014,CUST_003114,3,2024-04-14,22.52,2024-04-14,22.52
RPY_00000032,TXN_00000014,CUST_003114,4,2024-05-14,22.52,2024-05-13,22.52
RPY_00000033,TXN_00000015,CUST_001333,1,2024-06-07,89.08,2024-06-07,89.08
RPY_00000034,TXN_00000015,CUST_001333,2,2024-07-07,89.08,2024-07-07,89.08
RPY_00000035,TXN_00000015,CUST_001333,3,2024-08-06,89.08,2024-08-05,89.08
RPY_00000036,TXN_00000015,CUST_001333,4,2024-09-05,89.08,2024-09-20,93.53
RPY_00000037,TXN_00000016,CUST_000585,1,2024-06-09,98.57,2024-06-08,98.57
RPY_00000038,TXN_00000016,CUST_000585,2,2024-07-09,98.57,2024-07-09,98.57
RPY_00000039,TXN_00000016,CUST_000585,3,2024-08-08,98.57,2024-08-06,98.57
RPY_00000040,TXN_00000016,CUST_000585,4,2024-09-07,98.57,2024-09-05,98.57
RPY_00000041,TXN_00000017,CUST_002006,1,2024-03-09,45.45,2024-03-08,45.45
RPY_00000042,TXN_00000017,CUST_002006,2,2024-04-08,45.45,2024-04-07,45.45
RPY_00000043,TXN_00000017,CUST_002006,3,2024-05-08,45.45,2024-05-06,45.45
RPY_00000044,TXN_00000018,CUST_004563,1,2024-05-03,233.62,2024-05-01,233.62
RPY_00000045,TXN_00000018,CUST_004563,2,2024-06-02,233.62,2024-06-02,233.62
RPY_00000046,TXN_00000018,CUST_004563,3,2024-07-02,233.62,2024-06-30,233.62
RPY_00000047,TXN_00000018,CUST_004563,4,2024-08-01,233.62,2024-07-30,233.62
RPY_00000048,TXN_00000019,CUST_001877,1,2024-02-08,25.51,2024-02-07,25.51
RPY_00000049,TXN_00000019,CUST_001877,2,2024-03-09,25.51,,
RPY_00000050,TXN_00000019,CUST_001877,3,2024-04-08,25.51,2024-04-07,25.51
RPY_00000051,TXN_00000020,CUST_003287,1,2024-04-24,16.67,2024-04-23,16.67
RPY_00000052,TXN_00000020,CUST_003287,2,2024-05-24,16.67,2024-05-24,16.67
RPY_00000053,TXN_00000020,CUST_003287,3,2024-06-23,16.67,2024-06-22,16.67
RPY_00000054,TXN_00000021,CUST_002578,1,2024-03-29,61.55,2024-03-31,64.63
RPY_00000055,TXN_00000021,CUST_002578,2,2024-04-28,61.55,2024-04-26,61.55
RPY_00000056,TXN_00000021,CUST_002578,3,2024-05-28,61.55,2024-05-27,61.55
RPY_00000057,TXN_00000022,CUST_003759,1,2024-05-08,12.5,2024-05-06,12.5
RPY_00000058,TXN_00000022,CUST_003759,2,2024-06-07,12.5,2024-06-06,12.5
RPY_00000059,TXN_00000022,CUST_003759,3,2024-07-07,12.5,2024-07-07,12.5
RPY_00000060,TXN_00000022,CUST_003759,4,2024-08-06,12.5,2024-08-05,12.5
RPY_00000061,TXN_00000023,CUST_004599,1,2024-05-11,64.12,2024-05-10,64.12
RPY_00000062,TXN_00000023,CUST_004599,2,2024-06-10,64.12,2024-06-08,64.12
RPY_00000063,TXN_00000023,CUST_004599,3,2024-07-10,64.12,2024-07-10,64.12
RPY_00000064,TXN_00000023,CUST_004599,4,2024-08-09,64.12,2024-08-09,64.12
RPY_00000065,TXN_00000024,CUST_003510,1,2024-02-17,70.14,2024-02-17,70.14
RPY_00000066,TXN_00000024,CUST_003510,2,2024-03-18,70.14,2024-03-18,70.14
RPY_00000067,TXN_00000024,CUST_003510,3,2024-04-17,70.14,2024-04-15,70.14
RPY_00000068,TXN_00000025,CUST_001797,1,2024-04-15,123.01,2024-04-14,123.01
RPY_00000069,TXN_00000025,CUST_001797,2,2024-05-15,123.01,,
RPY_00000070,TXN_00000025,CUST_001797,3,2024-06-14,123.01,2024-06-14,123.01
RPY_00000071,TXN_00000026,CUST_000386,1,2024-05-10,34.79,2024-05-08,34.79
RPY_00000072,TXN_00000026,CUST_000386,2,2024-06-09,34.79,2024-06-13,36.53
RPY_00000073,TXN_00000026,CUST_000386,3,2024-07-09,34.79,2024-07-09,34.79
RPY_00000074,TXN_00000026,CUST_000386,4,2024-08-08,34.79,2024-08-08,34.79
RPY_00000075,TXN_00000027,CUST_003459,1,2024-02-25,93.72,2024-02-24,93.72
RPY_00000076,TXN_00000027,CUST_003459,2,2024-03-26,93.72,2024-03-25,93.72
RPY_00000077,TXN_00000027,CUST_003459,3,2024-04-25,93.72,2024-04-25,93.72
RPY_00000078,TXN_00000027,CUST_003459,4,2024-05-25,93.72,2024-05-25,93.72
RPY_00000079,TXN_00000028,CUST_004882,1,2024-03-11,107.88,2024-03-10,107.88
RPY_00000080,TXN_00000028,CUST_004882,2,2024-04-10,107.88,2024-04-09,107.88
RPY_00000081,TXN_00000028,CUST_004882,3,2024-05-10,107.88,2024-05-08,107.88
RPY_00000082,TXN_00000028,CUST_004882,4,2024-06-09,107.88,,
RPY_00000083,TXN_00000029,CUST_000095,1,2024-04-29,24.21,2024-04-29,24.21
RPY_00000084,TXN_00000029,CUST_000095,2,2024-05-29,24.21,2024-05-27,24.21
RPY_00000085,TXN_00000029,CUST_000095,3,2024-06-28,24.21,2024-06-27,24.21
RPY_00000086,TXN_00000029,CUST_000095,4,2024-07-28,24.21,2024-07-27,24.21
RPY_00000087,TXN_00000030,CUST_002186,1,2024-03-14,23.69,2024-03-12,23.69
RPY_00000088,TXN_00000030,CUST_002186,2,2024-04-13,23.69,2024-04-11,23.69
RPY_00000089,TXN_00000030,CUST_002186,3,2024-05-13,23.69,2024-05-13,23.69
RPY_00000090,TXN_00000031,CUST_002405,1,2024-03-01,167.34,2024-02-29,167.34
RPY_00000091,TXN_00000031,CUST_002405,2,2024-03-31,167.34,2024-03-30,167.34
RPY_00000092,TXN_00000031,CUST_002405,3,2024-04-30,167.34,2024-04-30,167.34
RPY_00000093,TXN_00000031,CUST_002405,4,2024-05-30,167.34,2024-05-28,167.34
RPY_00000094,TXN_00000035,CUST_004419,1,2024-02-29,44.14,2024-02-28,44.14
RPY_00000095,TXN_00000035,CUST_004419,2,2024-03-30,44.14,2024-03-28,44.14
RPY_00000096,TXN_00000035,CUST_004419,3,2024-04-29,44.14,2024-04-29,44.14
RPY_00000097,TXN_00000036,CUST_004907,1,2024-06-16,45.76,2024-06-27,48.05
RPY_00000098,TXN_00000036,CUST_004907,2,2024-07-16,45.76,2024-07-15,45.76
RPY_00000099,TXN_00000036,CUST_004907,3,2024-08-15,45.76,2024-08-15,45.76
RPY_00000100,TXN_00000036,CUST_004907,4,2024-09-14,45.76,2024-09-13,45.76
RPY_00000101,TXN_00000038,CUST_001962,1,2024-03-05,40.84,2024-03-03,40.84
RPY_00000102,TXN_00000038,CUST_001962,2,2024-04-04,40.84,2024-04-03,40.84
RPY_00000103,TXN_00000038,CUST_001962,3,2024-05-04,40.84,2024-05-02,40.84
RPY_00000104,TXN_00000039,CUST_000646,1,2024-05-10,292.01,2024-05-08,292.01
RPY_00000105,TXN_00000039,CUST_000646,2,2024-06-09,292.01,2024-06-09,292.01
RPY_00000106,TXN_00000039,CUST_000646,3,2024-07-09,292.01,2024-07-09,292.01
RPY_00000107,TXN_00000040,CUST_004364,1,2024-05-08,151.44,2024-05-19,159.01
RPY_00000108,TXN_00000040,CUST_004364,2,2024-06-07,151.44,2024-06-06,151.44
RPY_00000109,TXN_00000040,CUST_004364,3,2024-07-07,151.44,2024-07-06,151.44
RPY_00000110,TXN_00000040,CUST_004364,4,2024-08-06,151.44,2024-08-05,151.44
RPY_00000111,TXN_00000041,CUST_004504,1,2024-05-15,13.48,2024-05-14,13.48
RPY_00000112,TXN_00000041,CUST_004504,2,2024-06-14,13.48,2024-06-14,13.48
RPY_00000113,TXN_00000041,CUST_004504,3,2024-07-14,13.48,2024-07-14,13.48
RPY_00000114,TXN_00000041,CUST_004504,4,2024-08-13,13.48,2024-08-11,13.48
RPY_00000115,TXN_00000042,CUST_003467,1,2024-02-10,25.95,2024-02-10,25.95
RPY_00000116,TXN_00000042,CUST_003467,2,2024-03-11,25.95,2024-03-11,25.95
RPY_00000117,TXN_00000042,CUST_003467,3,2024-04-10,25.95,2024-04-08,25.95
RPY_00000118,TXN_00000042,CUST_003467,4,2024-05-10,25.95,2024-05-10,25.95
RPY_00000119,TXN_00000043,CUST_002554,1,2024-02-07,128.18,2024-02-05,128.18
RPY_00000120,TXN_00000043,CUST_002554,2,2024-03-08,128.18,2024-03-08,128.18
RPY_00000121,TXN_00000043,CUST_002554,3,2024-04-07,128.18,2024-04-06,128.18
RPY_00000122,TXN_00000043,CUST_002554,4,2024-05-07,128.18,2024-05-07,128.18
RPY_00000123,TXN_00000045,CUST_002031,1,2024-04-04,86.05,2024-04-02,86.05
RPY_00000124,TXN_00000045,CUST_002031,2,2024-05-04,86.05,2024-05-04,86.05
RPY_00000125,TXN_00000045,CUST_002031,3,2024-06-03,86.05,2024-06-03,86.05
