transaction_id,order_id,merchant_id,customer_id,transaction_date,transaction_timestamp,transaction_status,payment_method,order_amount,customer_paid_amount,merchant_received_amount,tabby_fee_amount,installment_plan,first_installment_amount,subsequent_installment_amount,authorization_to_capture_hours,capture_to_settlement_hours,risk_score,is_fraudulent
TXN_00000000,ORD_00000000,MERCH_0018,CUST_002007,2024-04-05,2024-04-05 18:07:01,settled,card,1627.78,1627.78,1585.62,42.16,,,,1.79,17.71,0.059,False
TXN_00000001,ORD_00000001,MERCH_0007,CUST_004468,2024-05-19,2024-05-19 11:08:47,settled,card,372.25,372.25,361.31,10.94,,,,1.24,2.49,0.351,False
TXN_00000002,ORD_00000002,MERCH_0003,CUST_000245,2024-04-11,2024-04-11 09:37:27,settled,card,50.0,50.0,48.95,1.05,,,,1.53,1.21,0.447,False
TXN_00000003,ORD_00000003,MERCH_0033,CUST_004932,2024-06-10,2024-06-10 09:13:14,failed,card,250.05,250.05,245.0,5.05,,,,,,0.509,False
TXN_00000004,ORD_00000004,MERCH_0035,CUST_003437,2024-03-21,2024-03-21 08:35:12,settled,bnpl_3installments,133.56,133.56,128.06,5.5,3.0,44.52,44.52,1.91,17.96,0.149,False
TXN_00000005,ORD_00000005,MERCH_0018,CUST_000054,2024-03-25,2024-03-25 11:28:37,settled,bnpl_4installments,883.83,883.83,860.94,22.89,4.0,220.96,220.96,1.12,44.71,0.659,False
TXN_00000006,ORD_00000006,MERCH_0028,CUST_002788,2024-02-03,2024-02-03 20:51:10,settled,bnpl_4installments,50.0,50.0,47.8,2.2,4.0,12.5,12.5,1.67,35.25,0.748,False
TXN_00000007,ORD_00000007,MERCH_0022,CUST_000838,2024-05-19,2024-05-19 12:09:13,settled,card,356.81,356.81,346.78,10.03,,,,1.1,32.77,0.486,False
TXN_00000008,ORD_00000008,MERCH_0023,CUST_002818,2024-04-14,2024-04-14 09:24:06,settled,card,50.0,50.0,47.76,2.24,,,,0.15,17.3,0.388,False
TXN_00000009,ORD_00000009,MERCH_0003,CUST_003764,2024-02-22,2024-02-22 17:16:51,settled,bnpl_3installments,542.88,542.88,531.48,11.4,3.0,180.96,180.96,0.74,32.72,0.257,False
TXN_00000010,ORD_00000010,MERCH_0025,CUST_000646,2024-03-09,2024-03-09 16:07:59,settled,bnpl_4installments,50.0,50.0,48.58,1.42,4.0,12.5,12.5,1.9,45.44,0.382,False
TXN_00000011,ORD_00000011,MERCH_0040,CUST_002963,2024-04-21,2024-04-21 16:18:53,settled,bnpl_3installments,671.1,671.1,655.33,15.77,3.0,223.7,223.7,0.6,6.75,0.098,False
TXN_00000012,ORD_00000012,MERCH_0005,CUST_000376,2024-05-13,2024-05-13 17:12:45,settled,bnpl_3installments,276.59,276.59,268.9,7.69,3.0,92.2,92.2,0.42,20.29,0.531,False
TXN_00000013,ORD_00000013,MERCH_0019,CUST_000654,2024-03-24,2024-03-24 18:14:49,settled,bnpl_4installments,50.0,50.0,48.93,1.07,4.0,12.5,12.5,1.86,32.63,0.478,False
TXN_00000014,ORD_00000014,MERCH_0007,CUST_003114,2024-02-14,2024-02-14 21:14:55,settled,bnpl_4installments,90.09,90.09,87.44,2.65,4.0,22.52,22.52,1.18,9.01,0.552,False
